String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.eligibility.question/health.1b.ma,"Are you age 16+ with at least 2 high-risk medical conditions?",,,,,,,,,,,,,,
c19.links/workflow.ma,"Massachusetts PhaseFinder",,,,,,,,,,,,,,
c19.eligibility.question/long_term_care_resident_or_worker.ma,"Do you live or work in a long-term care facility?",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident_or_worker.ma,"Examples of this include: skilled nursing facilities, assisted living residences, and rest homes.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.ma,"All healthcare workers are eligible to receive the vaccine.",,,,,,,,,,,,,,
c19.eligibility.question/first_responders.ma,"Are you a first responder?",,,,,,,,,,,,,,
c19.eligibility.moreinfo/first_responders.ma,"Several categories of first responders are eligible for the vaccine in Massachusetts.",,,,,,,,,,,,,,
c19.eligibility.question/congregate.ma,"Are you a staff member or resident of a congregate care facility?",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.ma,"Examples of congregate care facilities include emergency shelter programs, domestic violence shelters, veterans' shelters, and private special education shools.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/age.75_up.ma,"All individuals 75+ are eligible for the vaccine.",,,,,,,,,,,,,,
c19.links/info.ma.barnstable,"Barnstable County Vaccination Information",,,,,,,,,,,,,,
c19.links/registration.ma.barnstable,"Barnstable County COVID-19 Vaccine Registration",,,,,,,,,,,,,,
c19.links/info.ma.berkshire,"Get Vaccinated Berkshires",,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.ma.2step1,"All healthcare workers are eligible to receive the vaccine.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.ma.phase2step2,"All healthcare workers are eligible to receive the vaccine, including home-based healthcare workers. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident_or_worker.ma.ma.2step1,"Examples of this include: skilled nursing facilities, assisted living residences, and rest homes.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident.are.ma.phase2step2,"Examples of this include: skilled nursing facilities, assisted living residences, and rest homes.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/age.75_up.ma.2step1,"All individuals 75+ are eligible for the vaccine.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/first_responders.ma.ma.2step1,"Several categories of first responders are eligible for the vaccine in Massachusetts.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.ma.ma.2step1,"Examples of congregate care facilities include emergency shelter programs, domestic violence shelters, veterans' shelters, and private special education schools.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.ma.ma.phase2step2,"Examples of congregate care facilities include emergency shelter programs, domestic violence shelters, veterans' shelters, and private special education schools.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are.ma.phase2step2,"First responders including emergency medical services, police, and fire are currently eligible to receive the COVID-19 vaccine. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.ma.phase_2_step_4,"All healthcare workers are eligible to receive the vaccine, including home-based healthcare workers. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident.are.ma.phase_2_step_4,"Examples of this include: skilled nursing facilities, assisted living residences, and rest homes.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are.ma.phase_2_step_4,"First responders including emergency medical services, police, and fire are currently eligible to receive the COVID-19 vaccine. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.do.ma.phase_2_step_4,"Examples of congregate care facilities include emergency shelter programs, domestic violence shelters, veterans' shelters, and private special education schools.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.1b.ma.ma.phase_2_step_4,"Phase 2 groups:
Individuals 16 and older with two or more of certain medical conditions (defined below) are in Group 2 of Phase 2. This group is now eligible to receive the vaccine.
Individuals 16 and older with one of these certain medical conditions will be eligible to receive the vaccine effective April 5, 2021.
Phase 2 eligible conditions:
Asthma (moderate-to-severe)
Cancer
Chronic kidney disease
COPD (chronic obstructive pulmonary disease)
Down Syndrome
Heart conditions, such as heart failure, coronary artery disease, or cardiomyopathies
Immunocompromised state (weakened immune system) from solid organ transplant*
Obesity and severe obesity (body mass index [BMI] of 30 kg/m2 or higher)
Calculate your BMI here: Adult BMI Calculator | CDC
Pregnancy**
Sickle cell disease
Smoking
Type 2 diabetes mellitus",,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.ma.phase_2_step_5,"Individuals 16 and older with one of these certain medical conditions will be eligible to receive the vaccine effective April 5, 2021.
Phase 2 eligible conditions:
Asthma (moderate-to-severe)
Cancer
Chronic kidney disease
COPD (chronic obstructive pulmonary disease)
Down Syndrome
Heart conditions, such as heart failure, coronary artery disease, or cardiomyopathies
Immunocompromised state (weakened immune system) from solid organ transplant*
Obesity and severe obesity (body mass index [BMI] of 30 kg/m2 or higher)
Calculate your BMI here: Adult BMI Calculator | CDC
Pregnancy**
Sickle cell disease
Smoking
Type 2 diabetes mellitus",,,,,,,,,,,,,,
c19.eligibility.moreinfo/healthcare_worker.ma.phase_2_step_5,"All healthcare workers are eligible to receive the vaccine, including home-based healthcare workers. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/long_term_care_resident.are.ma.phase_2_step_5,"Examples of this include: skilled nursing facilities, assisted living residences, and rest homes.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are.ma.phase_2_step_5,"First responders including emergency medical services, police, and fire are currently eligible to receive the COVID-19 vaccine. ",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.ma.ma.phase_2_step_4,"Examples of congregate care facilities include emergency shelter programs, domestic violence shelters, veterans' shelters, and private special education schools.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/congregate.ma.ma.phase_2_step_5,"Examples of congregate care facilities include emergency shelter programs, domestic violence shelters, veterans' shelters, and private special education schools.",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.ma.phase_2_step_4,"Workers in the following categories are eligible as part of this group:
- Restaurant or cafe workers
- Food, meatpacking, beverage, agriculture, consumer goods, retail, or food service workers
- Grocery and convenience store workers
- Food pantry workers or volunteers
- Medical supply chain workers
- Vaccine development workers
- Transit/transportation workers
- Public works, water, wastewater, or utility workers
- Sanitation workers
- Public health workers
- Court system worker (judges, prosecutors, defense attorneys, clerks), other than court officers who are listed under first responders
- Funeral directors and  funeral workers
",,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.ma.phase_2_step_5,"Workers in the following categories are eligible as part of this group:
- Restaurant or cafe workers
- Food, meatpacking, beverage, agriculture, consumer goods, retail, or food service workers
- Grocery and convenience store workers
- Food pantry workers or volunteers
- Medical supply chain workers
- Vaccine development workers
- Transit/transportation workers
- Public works, water, wastewater, or utility workers
- Sanitation workers
- Public health workers
- Court system worker (judges, prosecutors, defense attorneys, clerks), other than court officers who are listed under first responders
- Funeral directors and  funeral workers
",,,,,,,,,,,,,,
